Date,Open,High,Low,Close,,,Volume,Adj Close
9/4/2015,16371.75977,16371.75977,16026.61035,16102.37988,-269.379883,0,127270000,16102.37988
9/3/2015,16364.33984,16550.07031,16317.30957,16374.75977,10.419922,1,109730000,16374.75977
9/2/2015,16058.34961,16352.58008,16058.34961,16351.37988,293.030274,1,133480000,16351.37988
9/1/2015,16528.0293,16528.0293,15979.9502,16058.34961,-469.679688,0,171390000,16058.34961
8/31/2015,16632.01953,16632.01953,16444.05078,16528.0293,-103.990234,0,141440000,16528.0293
8/28/2015,16649.41992,16669.9707,16535.17969,16643.00977,-6.410156,0,131790000,16643.00977
8/27/2015,16285.50977,16666.68945,16285.50977,16654.76953,369.259765,1,171980000,16654.76953
8/26/2015,15676.25977,16303.75,15676.25977,16285.50977,609.25,1,208420000,16285.50977
8/25/2015,15882.26953,16312.94043,15651.24023,15666.44043,-215.829101,0,213220000,15666.44043
8/24/2015,16459.75,16459.75,15370.33008,15871.34961,-588.400391,0,293920000,15871.34961
8/21/2015,16990.68945,16990.68945,16459.55078,16459.75,-530.939453,0,225170000,16459.75
8/20/2015,17345.32031,17345.32031,16990.68945,16990.68945,-354.630859,0,128530000,16990.68945
8/19/2015,17508.74023,17517.18945,17282.41992,17348.73047,-160.009765,0,104720000,17348.73047
8/18/2015,17537.30078,17568.40039,17486.41992,17511.33984,-25.960937,0,79900000,17511.33984
8/17/2015,17472.66016,17551.40039,17341.7207,17545.17969,72.519532,1,73380000,17545.17969
8/14/2015,17410.11914,17492.90039,17394.06055,17477.40039,67.28125,1,82120000,17477.40039
8/13/2015,17401.64063,17481.7793,17341.33984,17408.25,6.609375,1,88550000,17408.25
8/12/2015,17382.92969,17423.90039,17125.81055,17402.50977,19.580078,1,120400000,17402.50977
8/11/2015,17593.58984,17593.58984,17352.63086,17402.83984,-190.75,0,103010000,17402.83984
8/10/2015,17375.17969,17629.13086,17375.17969,17615.16992,239.990234,1,92430000,17615.16992
8/7/2015,17414.93945,17414.93945,17279.08008,17373.38086,-41.558594,0,81800000,17373.38086
8/6/2015,17542.60938,17572.03906,17362.85938,17419.75,-122.859375,0,96170000,17419.75
8/5/2015,17555.24023,17661.36914,17492.90039,17540.4707,-14.769531,0,102450000,17540.4707
8/4/2015,17596.92969,17635.7793,17505.5,17550.68945,-46.240235,0,99060000,17550.68945
8/3/2015,17696.74023,17704.75977,17496.60938,17598.19922,-98.541015,0,87880000,17598.19922
7/31/2015,17755.86914,17783.58984,17671.58984,17689.85938,-66.009766,0,106120000,17689.85938
7/30/2015,17743.24023,17761.25,17640.84961,17745.98047,2.740235,1,76650000,17745.98047
7/29/2015,17631.40039,17776.7793,17629.19922,17751.39063,119.990234,1,93140000,17751.39063
